Path [T2,T3,T9,T22,]	4
No0	successGeneration:	[4484, 6919, 890, 2675, 171, 450, 6075, 1860, 3765, 1617, 4646, 7107, 4502, 3704, 3708, 7104, 6424, 4563, 2439, 829, 7419, 1887, 5428, 7202, 3149, 61, 450, 1091, 5187, 3322, 3018, 4517, 3555, 3813, 437, 2465, 6682, 329, 4744, 4649, 5235, 5325]
No1	successGeneration:	[5508, 3402, 3925, 6926, 6376, 2879, 6609, 2872, 518, 5652, 8015, 8040, 6965, 3041, 6804, 3693, 4282, 5327, 435, 8063, 2161, 2170, 3381, 1049, 6360, 1176, 4201, 6208, 7778, 1029, 2709, 3652, 3900, 4090, 1453, 832, 6761, 7232, 5444, 2540, 4230, 2144]
No2	successGeneration:	[5996, 3908, 7840, 309, 5832, 1030, 110, 4358, 2778, 887, 985, 594, 6658, 3208, 3024, 5737, 1703, 5903, 1564, 4351, 1104, 7765, 1658, 1772, 5947, 871, 3560, 1650, 3999, 4659, 6223, 3385, 7612, 2438, 4342, 3625, 110, 2855, 7320, 1059, 4716, 5404]
No3	successGeneration:	[3895, 3307, 4443, 172, 1917, 3220, 3595, 6405, 671, 4924, 5155, 3905, 4298, 7085, 5628, 7327, 7604, 1109, 1817, 3313, 7184, 6863, 1520, 7525, 6948, 5980, 8059, 4904, 5470, 6054, 4471, 1815, 2355, 3373, 4968, 8144, 199, 4820, 2353, 2629, 1682, 7121]
No4	successGeneration:	[814, 4038, 4641, 7189, 3209, 3577, 6989, 3799, 909, 4642, 2301, 6597, 1161, 6940, 5608, 3088, 457, 4476, 5669, 7649, 4588, 1569, 2850, 7712, 7043, 8181, 7699, 5481, 3034, 4489, 6393, 1108, 1303, 6423, 4433, 2782, 4702, 7579, 5305, 452, 4904, 1656]
No5	successGeneration:	[1166, 3128, 7976, 3059, 6320, 2886, 2584, 2270, 3521, 423, 4810, 5037, 2295, 1802, 3653, 5226, 7229, 3740, 6725, 8012, 4026, 697, 4581, 2800, 633, 2281, 5609, 3165, 402, 50, 3882, 7835, 829, 1813, 165, 6174, 8167, 5484, 8046, 414, 6305, 670]
No6	successGeneration:	[4435, 2757, 936, 4646, 4020, 2590, 7522, 3902, 217, 5699, 1564, 3349, 5187, 3102, 1467, 5818, 1889, 4693, 7561, 1858, 258, 7482, 1617, 2544, 1660, 3320, 7634, 7231, 107, 1937, 2682, 3221, 2379, 4570, 4243, 1393, 7256, 6645, 7674, 3273, 5875, 5265]
No7	successGeneration:	[7188, 45, 7746, 6040, 7788, 7196, 7406, 547, 298, 5592, 4324, 2487, 5270, 4226, 4518, 3048, 5185, 5996, 4920, 719, 7130, 6377, 7747, 4504, 3798, 6936, 6049, 7796, 4541, 2803, 6944, 20, 212, 7265, 1321, 5679, 2768, 213, 3552, 3331, 7642, 408]
No8	successGeneration:	[1243, 5411, 3924, 6447, 234, 2025, 7441, 961, 6623, 5569, 6618, 6066, 4137, 2808, 702, 3580, 6547, 7193, 2843, 6963, 5503, 7800, 4099, 1883, 3415, 6428, 6336, 7429, 4572, 2902, 6057, 5660, 963, 459, 7696, 4632, 4247, 7406, 7233, 1038, 156, 4970]
No9	successGeneration:	[788, 2907, 77, 5609, 3251, 5221, 7730, 4381, 3760, 2445, 5303, 7974, 5468, 5534, 5753, 239, 5404, 3122, 2540, 6631, 5070, 5426, 1712, 7633, 2747, 5135, 7592, 5689, 5125, 4128, 6679, 5805, 4725, 389, 836, 7978, 1953, 6260, 3428, 4109, 5311, 7024]
No10	successGeneration:	[7700, 7275, 4185, 4795, 3548, 6192, 7741, 3558, 2772, 5502, 26, 6884, 7873, 6235, 3377, 4285, 7487, 121, 4898, 1936, 5466, 2745, 2104, 3668, 7526, 8116, 3041, 6028, 324, 1838, 7771, 580, 3003, 4431, 7320, 1251, 1966, 427, 3345, 7441, 6477, 1829]
No11	successGeneration:	[4249, 584, 2828, 307, 4553, 385, 386, 3047, 1555, 2456, 1441, 7134, 971, 1577, 6235, 2145, 3609, 3958, 1223, 2110, 8140, 1427, 5493, 2072, 4285, 8104, 2736, 4270, 787, 3902, 4944, 700, 2056, 5852, 2378, 6323, 5535, 4605, 621, 2739, 4029, 7897]
No12	successGeneration:	[2181, 710, 2985, 4348, 7704, 5014, 5207, 3409, 513, 5809, 2480, 6174, 4662, 2333, 5349, 6806, 936, 7445, 462, 6329, 3720, 6109, 6819, 3451, 7178, 7556, 2831, 4121, 5080, 1907, 5790, 455, 2181, 593, 5250, 6477, 6237, 2473, 7794, 5789, 1511, 4032]
No13	successGeneration:	[4147, 3922, 4092, 3608, 6434, 3234, 6665, 4389, 5903, 7069, 2725, 1537, 5089, 4202, 4969, 6509, 1491, 3084, 6942, 6407, 6569, 5306, 5759, 1187, 2494, 5090, 5593, 4976, 8134, 3196, 3389, 3656, 7601, 1518, 478, 788, 4996, 4809, 7254, 4567, 6723, 2300]
No14	successGeneration:	[6771, 6315, 2128, 7352, 6010, 6814, 3439, 597, 3784, 5298, 7681, 2958, 7667, 3733, 4918, 1842, 1045, 4779, 3823, 938, 5056, 4140, 1928, 154, 5871, 5538, 4061, 3815, 6551, 6882, 2945, 3033, 2233, 5461, 3475, 4026, 1257, 1566, 687, 721, 2442, 5039]
No15	successGeneration:	[7052, 5584, 4954, 2380, 2667, 8106, 717, 2206, 638, 2104, 6651, 6629, 7010, 5455, 6629, 4598, 3026, 3169, 155, 4796, 1759, 6131, 4568, 7187, 4605, 850, 4756, 7761, 1959, 6211, 2283, 6311, 1911, 2709, 5252, 5864, 3934, 7098, 7295, 2778, 3931, 5091]
No16	successGeneration:	[6824, 3147, 6859, 3499, 6752, 1491, 3053, 1565, 5682, 3571, 4922, 5199, 173, 2840, 1380, 5544, 6933, 8001, 1937, 326, 6417, 3494, 2361, 5860, 2276, 1553, 8048, 2007, 1987, 1501, 7205, 3130, 5531, 8148, 3211, 3646, 7179, 7686, 5244, 1017, 3228, 5001]
No17	successGeneration:	[3036, 5310, 5246, 5316, 7469, 4432, 2753, 6374, 1643, 7109, 5543, 253, 1708, 161, 3706, 1829, 4377, 2603, 6922, 154, 5944, 1930, 5761, 3641, 5705, 6844, 2801, 1765, 5889, 3462, 3234, 3755, 1348, 1368, 6448, 1388, 5840, 2931, 1406, 7196, 1089, 7343]
No18	successGeneration:	[7698, 6360, 330, 7812, 6058, 5897, 7210, 7532, 1835, 5552, 6294, 6626, 4175, 1656, 1440, 5008, 4784, 6797, 2147, 1498, 1712, 6573, 3708, 4147, 3721, 5410, 4083, 7283, 3457, 2607, 6487, 5969, 3531, 4677, 654, 988, 376, 589, 1440, 5917, 3100, 5426]
No19	successGeneration:	[6366, 2089, 2480, 8095, 5158, 5976, 7208, 4556, 4293, 1535, 1577, 3529, 1417, 6920, 4638, 2167, 927, 2930, 585, 7289, 2391, 2421, 5447, 5319, 8183, 1287, 7035, 2934, 797, 328, 990, 5259, 6021, 851, 5663, 5395, 2499, 1788, 5023, 8116, 3537, 4707]
Path [T2,T3,T9,T22,]	4
No0	successGeneration:	[1994, 1336, 882, 4868, 3804, 6568, 2191, 549, 4568, 1432, 1229, 3372, 7733, 6968, 1265, 5171, 1605, 4975, 2334, 826, 7729, 4634, 368, 6381, 6102, 2629, 1086, 5063, 2256, 1471, 7817, 65, 8184, 6806, 2745, 1338, 5248, 824, 3510, 3175, 8013, 4119]
No1	successGeneration:	[379, 3773, 7477, 357, 418, 1303, 6428, 1759, 6414, 3181, 3747, 4705, 6684, 5448, 3582, 1481, 5278, 4275, 2083, 1142, 7196, 233, 2883, 7208, 3259, 1053, 3183, 5507, 2682, 7735, 569, 536, 6119, 1043, 6103, 1966, 2683, 3732, 6205, 6748, 6166, 5268]
No2	successGeneration:	[7794, 1356, 154, 363, 3240, 2138, 5741, 6931, 7303, 2090, 6830, 5711, 6035, 3487, 1219, 5118, 2717, 4098, 3493, 1261, 1806, 3425, 4225, 2490, 5718, 4993, 613, 774, 6444, 2791, 3715, 599, 1503, 869, 2989, 3536, 4769, 6091, 5753, 4524, 2265, 4477]
No3	successGeneration:	[6703, 2969, 6614, 8109, 4104, 6899, 2176, 4222, 7508, 2683, 4947, 642, 648, 7317, 6721, 6277, 1527, 2026, 2343, 3557, 1318, 5572, 2771, 1623, 160, 7713, 5555, 4195, 1771, 3309, 749, 3530, 5914, 119, 6443, 1265, 1724, 5327, 7482, 1189, 3789, 4918]
No4	successGeneration:	[4585, 7278, 2810, 6018, 2046, 6038, 2519, 7078, 2291, 7637, 4460, 7702, 877, 4582, 2543, 4991, 1757, 7305, 5570, 5801, 901, 5458, 2422, 7795, 935, 6802, 3804, 3003, 4744, 7829, 2056, 7702, 2951, 6342, 4318, 7143, 4531, 7984, 581, 8110, 4778, 2315]
No5	successGeneration:	[6214, 3778, 5422, 6844, 2699, 2218, 5951, 912, 5652, 3911, 4969, 1529, 3849, 5299, 7238, 4195, 4607, 4667, 7809, 375, 4016, 7652, 6629, 5761, 6939, 3156, 4274, 7069, 2167, 2319, 445, 3988, 836, 5904, 247, 3971, 3069, 2595, 2732, 219, 6071, 1527]
No6	successGeneration:	[3128, 7340, 58, 3760, 2264, 2514, 7342, 7762, 1389, 4900, 6736, 4782, 986, 526, 4263, 3456, 5472, 736, 812, 684, 5858, 7657, 5679, 3425, 7636, 4823, 4985, 2152, 4861, 349, 1256, 3354, 7650, 7173, 3276, 4346, 668, 8169, 7978, 3025, 5133, 7787]
No7	successGeneration:	[7874, 2562, 6546, 2604, 3904, 3891, 626, 2544, 581, 3229, 678, 383, 2215, 94, 2657, 5527, 1124, 7806, 4165, 6193, 4712, 3392, 7627, 6062, 6240, 6613, 6868, 1501, 2510, 7551, 4611, 3948, 8173, 1655, 4052, 3574, 2843, 7448, 3632, 5315, 7594, 2329]
No8	successGeneration:	[1046, 3540, 7789, 8150, 2734, 6550, 5168, 547, 5697, 2607, 3363, 5878, 4168, 3293, 5338, 2357, 7948, 4627, 5157, 3871, 4254, 743, 5057, 1577, 415, 347, 4676, 8042, 932, 330, 7944, 5436, 1749, 3810, 2904, 159, 2522, 3414, 1740, 1058, 3064, 1074]
No9	successGeneration:	[7557, 3077, 7980, 6536, 7522, 2498, 1021, 6265, 1778, 4849, 1403, 5535, 5148, 7940, 3407, 958, 3136, 1545, 8084, 3550, 1624, 7192, 2930, 5860, 2089, 5778, 4294, 4342, 5824, 220, 6969, 1463, 1017, 6245, 1756, 7029, 3972, 8025, 2810, 4456, 1952, 770]
No10	successGeneration:	[1379, 2155, 1328, 7237, 8035, 4234, 1909, 3471, 5207, 6805, 5350, 5017, 2315, 7630, 1027, 3727, 323, 2130, 5852, 4637, 4555, 6153, 6027, 647, 2348, 1802, 1668, 6035, 3777, 1963, 6042, 7960, 8113, 2931, 6849, 7284, 883, 7673, 2109, 3891, 2329, 3891]
No11	successGeneration:	[2312, 5130, 7283, 2673, 6867, 224, 8078, 7424, 1108, 7763, 268, 5540, 6720, 1252, 1830, 951, 5066, 3440, 1826, 4624, 5402, 3773, 5962, 2219, 3736, 7640, 4767, 6692, 6234, 2339, 7367, 2571, 1319, 2328, 7266, 3050, 676, 250, 7453, 4937, 5221, 4481]
No12	successGeneration:	[2154, 6335, 1641, 2479, 984, 1064, 547, 1277, 7480, 1057, 2145, 1759, 8087, 8106, 5025, 5233, 7841, 2195, 3531, 5102, 7957, 5402, 1286, 84, 6983, 513, 1935, 922, 7976, 3779, 4326, 6522, 5678, 5198, 4982, 1721, 4658, 1931, 162, 6677, 2296, 7009]
No13	successGeneration:	[320, 5015, 2032, 1313, 4739, 6323, 6719, 6097, 2133, 3149, 7621, 5981, 5764, 3743, 661, 3399, 3050, 1897, 5198, 1142, 574, 72, 1725, 6587, 7421, 4177, 6068, 6102, 878, 4139, 1022, 5521, 5083, 6623, 6721, 8067, 8160, 5263, 7684, 5301, 1343, 3931]
No14	successGeneration:	[3883, 1600, 612, 7634, 4521, 5587, 5931, 4464, 2005, 145, 5899, 7606, 2305, 7756, 1045, 3430, 5208, 1665, 2155, 2779, 7891, 2463, 8052, 6979, 3734, 5972, 161, 6263, 2811, 888, 2335, 6549, 1806, 184, 4741, 2906, 1225, 847, 4906, 6217, 2855, 1982]
No15	successGeneration:	[4532, 6028, 2491, 247, 4805, 6291, 2681, 3222, 5272, 4603, 3196, 1005, 8074, 2860, 4972, 1830, 7977, 4023, 790, 4164, 5451, 2222, 3355, 4044, 3918, 6403, 4667, 1119, 4469, 6129, 6411, 6140, 7374, 7102, 6446, 7491, 1838, 7772, 1934, 256, 2487, 3825]
No16	successGeneration:	[554, 5578, 5462, 1183, 866, 3478, 2039, 1976, 6495, 5530, 1877, 1451, 5196, 7935, 176, 2972, 1422, 4882, 1926, 7861, 3375, 1016, 2040, 754, 5159, 4729, 479, 6385, 3727, 6154, 4019, 6634, 5583, 1462, 7412, 7119, 740, 3064, 668, 5273, 6914, 1728]
No17	successGeneration:	[7949, 752, 5853, 4992, 2188, 6265, 7318, 2208, 6156, 2696, 5271, 2760, 792, 7201, 1982, 6934, 7687, 2810, 4062, 289, 3159, 3967, 220, 2345, 1940, 4248, 2845, 1131, 5454, 5614, 4467, 1898, 1406, 3418, 4494, 2836, 6270, 4682, 6505, 2595, 2011, 510]
No18	successGeneration:	[7857, 75, 3010, 6731, 6689, 6348, 7977, 4442, 3763, 7710, 3931, 5121, 2897, 3854, 5564, 7955, 7893, 6161, 4211, 1543, 5299, 1844, 4220, 3591, 958, 2227, 3224, 5543, 3189, 1195, 5726, 6101, 7016, 4565, 4555, 2373, 2847, 3662, 7411, 4396, 7013, 839]
No19	successGeneration:	[4988, 5982, 3340, 1234, 1690, 7807, 5231, 5337, 7903, 3944, 2648, 5968, 4081, 785, 7241, 1414, 4975, 2061, 5598, 4858, 71, 299, 6032, 6433, 6376, 3108, 1263, 2734, 2987, 200, 6639, 2228, 3799, 3708, 3389, 4501, 1022, 8036, 3690, 5327, 3015, 6655]
